"Пресс","подъем ног в висе;"
"Пресс","подъем ног лежа на скамье с подъемом таза;"
"Пресс","скручивание с подъемом корпуса на наклонной поверхности;"
"Пресс","скручивания, сидя на горизонтальной поверхности;"
"Пресс","подъем ног лежа на наклонной скамье;"
"Пресс","ножницы;"
"Пресс","скручивание на мяче;"
"Пресс",""
"Пресс","«молитва»."
"Грудь","Жим гантелей на скамье"
"Грудь","Отжимания от пола"
"Грудь","Жим гантелей на горизонтальной скамье"
"Грудь","Жим гентелей под отрицательным углом"
"Грудь","Разводка гантелей на скамье"
"Грудь","Отжимания от брусьев"
"Грудь","Жим штанги лежа"
"Грудь","Жим штанги лежа на скамье 45 градусов "
"Грудь","Сведение рук в тренажере бабочка"
"Грудь","Сведение рук в кроссовере"
"Ноги","Приседания со штангой"
"Ноги","Приседания со штангой сумо"
"Ноги","Фронтальные приседания"
"Ноги","Выпады со штангой"
"Ноги","Румынская тяга"
"Ноги","Сгибание ног лежа"
"Ноги","Разгибание ног сидя"
"Ягодицы","Разведение ног сидя"
"Ягодицы","Ягодичный мостик"
"Ягодицы","Приседания с гирей"
"Ягодицы","Отведение ноги назад в кроссовере"
"Ягодицы","Диагональные выпады"
"Ягодицы","Обратая гиперэкстензия"
"Ягодицы","Зашагивания на платформу"
"Плечи","Жим гантелей сидя"
"Плечи","Махи гантелями в сторону"
"Плечи","Подъем гантелей перед собой"
"Плечи","Жим Арнольда"
"Плечи","Армейский жим"
"Плечи","Пек-дек на заднюю дельту"
"Плечи","Арбалет в кроссовере на заднюю дельту"
"Руки","Сгибание рук со штангой стоя"
"Руки","Сгибание рук с гантедями стоя"
"Руки","Сгибание рук с гантелями хватом молоток стоя"
"Руки","Рагибание рук в блоке с канатом"
"Руки","Разгибание рук в блоке прямым хватом"
"Руки","Жим штанги лежа узким хватом"
"Руки","Французский жим"
"Руки","Обратные отжимания на трицепс"
"Спина","Подтягивания"
"Спина","Вертикальная тяга к груди широким хватом"
"Спина","Вертикальная тяга за голову широким хватом"
"Спина","Вертикальная тяга к груди узким параллельным хватом"
"Спина","Вертикальная тяга к груди широким параллельным хватом"
"Спина","Горизонтальная тяга узким параллельным хватом"
"Спина","Горизонтальная тяга широким параллельным хватом"
"Спина","Пуловер в блоке"
"Спина","Тяга штанги в наклоне"
"Спина","Тяга гантели к поясу"
"Спина","Гиперэкстензия"
